time,x,y,v,v_d,a,v_des,a_des,throttle,brake,steer
1545754567.166463,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.186868,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.206647,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.226649,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.246629,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.266641,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.286647,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.306649,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.326628,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.346623,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.366626,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.38663,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.406631,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.426629,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.447067,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.467023,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.487185,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.50663,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.526792,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.546614,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.566785,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.586642,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.606754,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.626645,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.646619,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.66663,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.686827,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.706643,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.726638,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.746622,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.766648,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.786639,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.806644,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1545754567.826648,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
